"filename", "language", "JavaScript", "Markdown", "XML", "CSS", "Vue", "JSON", "HTML", "comment", "blank", "total"
"d:\workPro\static-vue\static-web\.CodeCounter\details.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"d:\workPro\static-vue\static-web\.CodeCounter\results.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"d:\workPro\static-vue\static-web\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 8, 2, 30
"d:\workPro\static-vue\static-web\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"d:\workPro\static-vue\static-web\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"d:\workPro\static-vue\static-web\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\workPro\static-vue\static-web\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"d:\workPro\static-vue\static-web\build\utils.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 5, 17, 103
"d:\workPro\static-vue\static-web\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\workPro\static-vue\static-web\build\webpack.base.conf.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 4, 4, 102
"d:\workPro\static-vue\static-web\build\webpack.dev.conf.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 7, 7, 96
"d:\workPro\static-vue\static-web\build\webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 25, 8, 147
"d:\workPro\static-vue\static-web\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workPro\static-vue\static-web\config\index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 32, 16, 79
"d:\workPro\static-vue\static-web\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\workPro\static-vue\static-web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 11, 1, 1, 13
"d:\workPro\static-vue\static-web\package-lock.json", "JSON", 0, 0, 0, 0, 0, 13375, 0, 0, 1, 13376
"d:\workPro\static-vue\static-web\package.json", "JSON", 0, 0, 0, 0, 0, 85, 0, 0, 1, 86
"d:\workPro\static-vue\static-web\src\App.vue", "Vue", 0, 0, 0, 0, 132, 0, 0, 0, 6, 138
"d:\workPro\static-vue\static-web\src\assets\vue-calendar-component\calendar.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 12, 2, 120
"d:\workPro\static-vue\static-web\src\assets\vue-calendar-component\calendar.vue", "Vue", 0, 0, 0, 0, 337, 0, 0, 5, 12, 354
"d:\workPro\static-vue\static-web\src\assets\vue-calendar-component\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 6, 2, 10
"d:\workPro\static-vue\static-web\src\components\community\AboutCommunity.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 2, 7, 98
"d:\workPro\static-vue\static-web\src\components\faq\faq.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 3, 65
"d:\workPro\static-vue\static-web\src\components\home\Home.vue", "Vue", 0, 0, 0, 0, 452, 0, 0, 4, 16, 472
"d:\workPro\static-vue\static-web\src\components\mail\MailList.vue", "Vue", 0, 0, 0, 0, 101, 0, 0, 2, 3, 106
"d:\workPro\static-vue\static-web\src\components\meeting\MeetingCalendar.vue", "Vue", 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"d:\workPro\static-vue\static-web\src\components\meeting\meeting.vue", "Vue", 0, 0, 0, 0, 165, 0, 0, 9, 4, 178
"d:\workPro\static-vue\static-web\src\components\project\ProjectList.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 6, 3, 130
"d:\workPro\static-vue\static-web\src\main.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 6, 7, 34
"d:\workPro\static-vue\static-web\src\router\index.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 13, 4, 55
"d:\workPro\static-vue\static-web\src\store\getters.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 5, 2, 18
"d:\workPro\static-vue\static-web\src\store\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\workPro\static-vue\static-web\src\store\modules\community.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 19, 1, 67
"d:\workPro\static-vue\static-web\src\store\modules\faq.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\workPro\static-vue\static-web\src\store\modules\meeting.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 3, 66
"d:\workPro\static-vue\static-web\src\store\modules\nav.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"d:\workPro\static-vue\static-web\src\store\modules\project.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"d:\workPro\static-vue\static-web\src\store\modules\website.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\workPro\static-vue\static-web\src\style\animate.css", "CSS", 0, 0, 0, 1256, 0, 0, 0, 11, 312, 1579
"d:\workPro\static-vue\static-web\src\style\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workPro\static-vue\static-web\src\style\reset.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 1, 1, 52
"d:\workPro\static-vue\static-web\src\style\topStyle.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workPro\static-vue\static-web\static-web\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\workPro\static-vue\static-web\static\bootstrap\css\bootstrap-theme.css", "CSS", 0, 0, 0, 581, 0, 0, 0, 6, 0, 587
"d:\workPro\static-vue\static-web\static\bootstrap\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\workPro\static-vue\static-web\static\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 6826, 0, 0, 0, 8, 0, 6834
"d:\workPro\static-vue\static-web\static\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\workPro\static-vue\static-web\static\bootstrap\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 288, 0, 0, 0, 0, 0, 0, 288
"d:\workPro\static-vue\static-web\static\bootstrap\js\bootstrap.js", "JavaScript", 1752, 0, 0, 0, 0, 0, 0, 211, 618, 2581
"d:\workPro\static-vue\static-web\static\bootstrap\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\workPro\static-vue\static-web\static\bootstrap\js\npm.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 0, 13
"d:\workPro\static-vue\static-web\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workPro\static-vue\static-web\vue.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 2818, 123, 288, 8715, 1509, 13460, 11, 429, 1125, 28478
